range_km,frequency_mhz,fspl_db,tx_power_dbm,tx_gain_dbi,rx_gain_dbi,total_losses_db,received_power_dbm,noise_floor_dbm,carrier_to_noise_db,ebn0_db,receiver_sensitivity_dbm,link_margin_db
500.0,433.5,139.15918212296495,10.0,0.0,10.0,5.0,-124.15918212296495,-127.03089986991944,2.871717746954488,13.049005416558803,-110.0,-14.15918212296495
700.0,433.5,142.0817428365297,10.0,0.0,10.0,5.0,-127.08174283652971,-127.03089986991944,-0.05084296661027565,10.12644470299404,-110.0,-17.081742836529713
900.0,433.5,144.26463222503108,10.0,0.0,10.0,5.0,-129.26463222503108,-127.03089986991944,-2.2337323551116413,7.943555314492674,-110.0,-19.26463222503108
1100.0,433.5,146.00763573940907,10.0,0.0,10.0,5.0,-131.00763573940907,-127.03089986991944,-3.97673586948963,6.200551800114685,-110.0,-21.007635739409068
1300.0,433.5,147.45864908238133,10.0,0.0,10.0,5.0,-132.45864908238133,-127.03089986991944,-5.42774921246189,4.749538457142425,-110.0,-22.458649082381328
1500.0,433.5,148.7016072173582,10.0,0.0,10.0,5.0,-133.7016072173582,-127.03089986991944,-6.670707347438764,3.5065803221655507,-110.0,-23.7016072173582
1800.0,433.5,150.2852321383107,10.0,0.0,10.0,5.0,-135.2852321383107,-127.03089986991944,-8.254332268391266,1.9229554012130485,-110.0,-25.285232138310704
2100.0,433.5,151.62416793092297,10.0,0.0,10.0,5.0,-136.62416793092297,-127.03089986991944,-9.593268061003528,0.5840196086007872,-110.0,-26.624167930922965
2500.0,433.5,153.13858220968532,10.0,0.0,10.0,5.0,-138.13858220968532,-127.03089986991944,-11.107682339765887,-0.9303946701615722,-110.0,-28.138582209685325
